tic,date,ajexdi,price,gvkey
REMX,1/4/2021,1,68.64,185808
REMX,1/5/2021,1,73.69,185808
REMX,1/6/2021,1,72.71,185808
REMX,1/7/2021,1,77.68,185808
REMX,1/8/2021,1,75.42,185808
REMX,1/11/2021,1,73.63,185808
REMX,1/12/2021,1,74.43,185808
REMX,1/13/2021,1,74.86,185808
REMX,1/14/2021,1,74.73,185808
REMX,1/15/2021,1,72.38,185808
REMX,1/19/2021,1,75.19,185808
REMX,1/20/2021,1,78.18,185808
REMX,1/21/2021,1,82.65,185808
REMX,1/22/2021,1,81.22,185808
REMX,1/25/2021,1,82.8,185808
REMX,1/26/2021,1,82.65,185808
REMX,1/27/2021,1,78.87,185808
REMX,1/28/2021,1,77.49,185808
REMX,1/29/2021,1,74.19,185808
REMX,2/1/2021,1,76.6,185808
REMX,2/2/2021,1,79.66,185808
REMX,2/3/2021,1,81.39,185808
REMX,2/4/2021,1,79.35,185808
REMX,2/5/2021,1,76.4,185808
REMX,2/8/2021,1,81.52,185808
REMX,2/9/2021,1,83.31,185808
REMX,2/10/2021,1,83.98,185808
REMX,2/11/2021,1,83.83,185808
REMX,2/12/2021,1,84.87,185808
REMX,2/16/2021,1,90.89,185808
REMX,2/17/2021,1,92.3,185808
REMX,2/18/2021,1,88.7,185808
REMX,2/19/2021,1,90.84,185808
REMX,2/22/2021,1,93.33,185808
REMX,2/23/2021,1,89.54,185808
REMX,2/24/2021,1,90.79,185808
REMX,2/25/2021,1,82.5,185808
REMX,2/26/2021,1,83.28,185808
REMX,3/1/2021,1,87.87,185808
REMX,3/2/2021,1,85.15,185808
REMX,3/3/2021,1,85.38,185808
REMX,3/4/2021,1,79.36,185808
REMX,3/5/2021,1,77.04,185808
REMX,3/8/2021,1,74.93,185808
REMX,3/9/2021,1,77.49,185808
REMX,3/10/2021,1,75.02,185808
REMX,3/11/2021,1,81.02,185808
REMX,3/12/2021,1,80.39,185808
REMX,3/15/2021,1,80.45,185808
REMX,3/16/2021,1,77.75,185808
REMX,3/17/2021,1,79.45,185808
REMX,3/18/2021,1,77.23,185808
REMX,3/19/2021,1,77.15,185808
REMX,3/22/2021,1,76.81,185808
REMX,3/23/2021,1,70.43,185808
REMX,3/24/2021,1,68.12,185808
REMX,3/25/2021,1,69.61,185808
REMX,3/26/2021,1,73.18,185808
REMX,3/29/2021,1,72.19,185808
REMX,3/30/2021,1,74.31,185808
REMX,3/31/2021,1,74.99,185808
REMX,4/1/2021,1,76.31,185808
REMX,4/5/2021,1,76.64,185808
REMX,4/6/2021,1,76.93,185808
REMX,4/7/2021,1,77.46,185808
REMX,4/8/2021,1,77.57,185808
REMX,4/9/2021,1,77.43,185808
REMX,4/12/2021,1,75.5,185808
REMX,4/13/2021,1,76.38,185808
REMX,4/14/2021,1,78.44,185808
REMX,4/15/2021,1,78.33,185808
REMX,4/16/2021,1,78.58,185808
REMX,4/19/2021,1,80.69,185808
REMX,4/20/2021,1,77.12,185808
REMX,4/21/2021,1,79.41,185808
REMX,4/22/2021,1,76.92,185808
REMX,4/23/2021,1,80.08,185808
REMX,4/26/2021,1,81.57,185808
REMX,4/27/2021,1,80.73,185808
REMX,4/28/2021,1,81.24,185808
REMX,4/29/2021,1,81.07,185808
REMX,4/30/2021,1,79.81,185808
REMX,5/3/2021,1,80.3,185808
REMX,5/4/2021,1,80.45,185808
REMX,5/5/2021,1,82.6,185808
REMX,5/6/2021,1,82.59,185808
REMX,5/7/2021,1,84.51,185808
REMX,5/10/2021,1,85.56,185808
REMX,5/11/2021,1,83.43,185808
REMX,5/12/2021,1,79.52,185808
REMX,5/13/2021,1,77.85,185808
REMX,5/14/2021,1,78.34,185808
REMX,5/17/2021,1,79.29,185808
REMX,5/18/2021,1,80.39,185808
REMX,5/19/2021,1,78.9,185808
REMX,5/20/2021,1,78.44,185808
REMX,5/21/2021,1,77.95,185808
REMX,5/24/2021,1,78.53,185808
REMX,5/25/2021,1,78.68,185808
